"面額新台幣10元之公司"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積、資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積、資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1101 - 台泥","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/28","     14,222,703,892","      6,358,452,420","     20,261,931,451","     14,908,276,441","1.45000000","0.0","      5,353,655,010","0.0","0.0","                  0","本公司每年決算所得純益，除依法提繳所得稅，彌補累積虧損，次提撥百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本總額時，得不再提撥，其餘加計累積未分配盈餘，必要時得依相關法令規定提撥或迴轉特別盈餘公積或酌予保留盈餘後，就其餘額再予分派普通股股利，分派比率依本條第二項之股利政策由董事會擬訂盈餘分派案提請股東會決議。","",
"1102 - 亞泥","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/27","     10,908,688,494","      3,945,769,516","     13,529,992,457","     10,504,689,979","0.90000000","0.0","      3,025,302,478","0.0","0.0","                  0","本公司每年決算如有盈餘，於依法繳納營利事業所得稅後，應先彌補歷年虧損，如尚有盈餘，於提列法定盈餘公積百分之十，並依法令規定提列特別盈餘公積後，再將其餘額連同上年度累積未分配盈餘，作為可供分配之盈餘，惟得視業務狀況酌予保留一部分後，按全部股份平均分派股東紅利，但遇增加資本時，其當年度新增股份應分派之紅利，依照股東會之決議辦理。
本公司股利應參酌所營事業景氣變化之特性，考量各項產品或服務所處生命週期對未來資金之需求與稅制之影響，在維持股利穩定之目標下分派之。股利之發放，除有改善財務結構及支應轉投資、產能擴充或其他重大資本支出等資金需求外，其現金股利部分不低於當年度股東紅利之百分之十。","",
"1103 - 嘉泥","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/19","      2,805,905,894","         24,888,438","      3,899,733,842","      3,744,777,733","0.20000000","0.0","        154,956,109","0.0","0.0","                  0","第26條
本公司每年決算如有當期稅後盈餘，除依法彌補累積虧損、提列法定盈餘公積外，另依法令
規定提列或迴轉特別盈餘公積，並連同當期未分配盈餘調整數額，作為當期可供分派盈餘，
加計期初未分配盈餘後，由董事會依據本條第四項及第五項之股利政策擬定盈餘分派案，提
請股東會決議。
本公司採剩餘股利政策，於考量未來年度之資本支出預算及資金需求情形，得保留相當之數
額；保留後如有餘額，再行分派股東紅利。
本公司股東紅利之分派，每年以現金分派之數額，為當年度股東紅利分派總額之百分之十以
上，餘額配發股票股利。","",
"1104 - 環泥","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/14","      2,800,608,719","      1,701,797,747","      4,333,195,083","      3,381,337,036","1.20000000","0.0","        761,486,437","0.30000000","0.0","         19,037,161","本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提 10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司所處傳統產業環境正值穩定期，高科技產業環境正值萌芽期，考量本公司未來資金需求及長期財務規劃，股東紅利之分派原則全數採用現金股利發放，但遇有資金較大需求之年度時，得採股票股利與現金股利二種方式配合發放，其中股票股利所占比率不高於股東紅利總額百分之五十。
前項股利分派比率，得視公司年度獲利情形及資金需求，經股東會決議調整之。","",
"1108 - 幸福","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/07","        235,167,681","        315,334,330","        516,462,946","        273,620,117","0.60000000","0.0","        242,842,829","0.0","0.0","                  0","第三十條之一 為考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年度決算後如有當期淨利，除彌補虧損外，應先提撥百分之十為法定盈餘公積及就當年度發生之帳列其他股東權益減項淨額提列特別盈餘公積，其餘額連同上一年度累積未分配盈餘及當年度未分配盈餘調整數額合計數提撥百分之四十至八十，如以上限百分之八十計算後每股分配之股利金額仍未滿新台幣一角者，得予保留不分配，餘由董事會擬定分配議案，提請股東會承認之。
前項盈餘提撥分派之比率及股票現金之比率得由董事會視當年度實際獲利及資金狀況，並考量投資資金需求及對每股盈餘之稀釋程度，適度採現金股利或股票股利方式發放。但配發股票股利以不超過已發行股本百分之二十為限。
本公司於分派可分配盈餘時，除依第二項規定計算外，如有當年度轉入之保留盈餘或當年度稅後盈餘不足提列之其他股東權益減項金額，仍應依法令之規定自轉入之保留盈餘或上一年度累積未分配盈餘提列或補列特別盈餘公積後，始得分派盈餘。","",
"1109 - 信大","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/16","        189,111,659","        161,017,469","        326,853,427","        288,963,358","0.10000000","0.0","         37,890,069","0.0","0.0","                  0","本公司係屬成熟期產業，有關股利之分記數
額，以當年度可供分配盈餘之百分之五十以上
及其中現金股利占百分之五十以上為原則。惟
若基於未來公司發展之資本支出或財務規劃等
實際需要，得經股東會決議調整之。","",
"1110 - 東泥","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/23","         54,467,922","        108,418,801","        158,791,201","        101,591,122","0.10000000","0.0","         57,200,079","0.0","0.0","                  0","本公司年度總決算如有盈餘，應先繳納稅捐、彌補以往虧損，次提百分之十為法定盈餘公積，直至法定盈餘公積已達本公司資本總額時為止，及依主管機關規定提列或迴轉特別盈餘公積後，其餘額併同以前年度累積未分配盈餘暨本年度未分配盈餘調整數後，作為可供分配之盈餘，由董事會擬具盈餘分配案，提請股東會決議後分派股東紅利。
本公司股利，應參酌所營事業景氣變化之特性，考量各項產品或服務所處生命週期對未來資金之需求與長期財務規劃，在維持穩定股利之目標下，分配股東紅利全數以配發現金股利為原則，但若公司有產能擴充、改善財務結構、重大投資計劃等資金需求時，則以百分之五十以上為股票股利，其餘為現金股利。","",
"1201 - 味全","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/27","         44,381,078","       -776,709,195","       -837,452,614","       -837,452,614","0.0","0.0","                  0","0.0","0.0","                  0","本公司年度如有獲利，應提撥百分之二至百分之十為員工酬勞，其發放對象包含符合一定條件之從屬公司員工，酬勞之分派以股票或現金為之。本公司並得以上開獲利數額，以百分之五為上限提撥董事酬勞，董事酬勞之分派，以現金為之。
前項員工、董事酬勞之分派，應由董事會以董事三分之二以上之出席及出席董事過半數同意之決議行之，並報告股東會。但公司尚有累積虧損時，應預先保留彌補數額，再依前項比例提撥員工酬勞及董事酬勞。","",
"1203 - 味王","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/27","        204,874,456","        422,963,324","        566,362,658","        326,362,658","1.00000000","0.0","        240,000,000","0.0","0.0","                  0","公司年度如有獲利，應提撥百分之二為員工酬勞及百分之五以下為董事監察人酬勞，但公司尚有累積虧損時，應預先保留彌補數額。
本公司所處產業環境多變，企業生命週期正值穩定成長階段，考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十法定盈餘公積及依證券交易法規定應提列之特別盈餘公積，如尚有餘，得視當年度實際獲利及資金情況，經董事會決議通過後報股東會決議分派股東紅利。","",
"1210 - 大成","股東會確認","105年 年度","105/01/01~105/12/31","1","0","106/06/15","        664,299,718","      2,058,379,948","      2,512,733,871","      1,408,142,301","1.50000000","0.0","      1,104,591,570","0.0","0.0","                  0","無","",
